id,word,ipa,ending_sound
1,stop,/stɒp/,/p/
2,stock,/stɒk/,/k/
3,map,/mæp/,/p/
4,mat,/mæt/,/t/
5,cap,/kæp/,/p/
6,cat,/kæt/,/t/
7,lip,/lɪp/,/p/
8,lit,/lɪt/,/t/
9,sip,/sɪp/,/p/
10,sit,/sɪt/,/t/
11,web,/wɛb/,/b/
12,wet,/wɛt/,/t/
13,club,/klʌb/,/b/
14,clue,/kluː/,/uː/
15,job,/dʒɒb/,/b/
16,jog,/dʒɒɡ/,/ɡ/
17,cab,/kæb/,/b/
18,cap,/kæp/,/p/
19,rib,/rɪb/,/b/
20,rip,/rɪp/,/p/
21,cat,/kæt/,/t/
22,cap,/kæp/,/p/
23,hat,/hæt/,/t/
24,hot,/hɒt/,/t/
25,mat,/mæt/,/t/
26,map,/mæp/,/p/
27,bat,/bæt/,/t/
28,bad,/bæd/,/d/
29,sit,/sɪt/,/t/
30,sip,/sɪp/,/p/
31,bed,/bɛd/,/d/
32,bet,/bɛt/,/t/
33,red,/rɛd/,/d/
34,rat,/ræt/,/t/
35,sad,/sæd/,/d/
36,sat,/sæt/,/t/
37,mad,/mæd/,/d/
38,mat,/mæt/,/t/
39,kid,/kɪd/,/d/
40,kit,/kɪt/,/t/
41,back,/bæk/,/k/
42,bag,/bæɡ/,/ɡ/
43,lock,/lɒk/,/k/
44,log,/lɒɡ/,/ɡ/
45,sick,/sɪk/,/k/
46,sit,/sɪt/,/t/
47,duck,/dʌk/,/k/
48,dock,/dɒk/,/k/
49,kick,/kɪk/,/k/
50,kit,/kɪt/,/t/
51,dog,/dɒɡ/,/ɡ/
52,dot,/dɒt/,/t/
53,bag,/bæɡ/,/ɡ/
54,bat,/bæt/,/t/
55,pig,/pɪɡ/,/ɡ/
56,pit,/pɪt/,/t/
57,fog,/fɒɡ/,/ɡ/
58,log,/lɒɡ/,/ɡ/
59,bug,/bʌɡ/,/ɡ/
60,but,/bʌt/,/t/
61,leaf,/liːf/,/f/
62,leave,/liːv/,/v/
63,roof,/ruːf/,/f/
64,room,/ruːm/,/m/
65,off,/ɒf/,/f/
66,of,/əv/,/v/
67,safe,/seɪf/,/f/
68,save,/seɪv/,/v/
69,elf,/ɛlf/,/f/
70,else,/ɛls/,/s/
71,love,/lʌv/,/v/
72,live,/lɪv/,/v/
73,dove,/dʌv/,/v/
74,dive,/daɪv/,/v/
75,give,/ɡɪv/,/v/
76,gift,/ɡɪft/,/t/
77,live,/lɪv/,/v/
78,leave,/liːv/,/v/
79,wave,/weɪv/,/v/
80,wage,/weɪdʒ/,/dʒ/
81,bath,/bɑːθ/,/θ/
82,bat,/bæt/,/t/
83,path,/pɑːθ/,/θ/
84,pat,/pæt/,/t/
85,teeth,/tiːθ/,/θ/
86,teethe,/tiːð/,/ð/
87,math,/mæθ/,/θ/
88,mat,/mæt/,/t/
89,truth,/truːθ/,/θ/
90,true,/truː/,/uː/
91,this,/ðɪs/,/ð/
92,these,/ðiːz/,/z/
93,that,/ðæt/,/ð/
94,hat,/hæt/,/t/
95,with,/wɪð/,/ð/
96,wit,/wɪt/,/t/
97,mother,/ˈmʌðər/,/ð/
98,mutter,/ˈmʌtər/,/t/
99,father,/ˈfɑːðər/,/ð/
100,farther,/ˈfɑːrðər/,/ð/
101,bus,/bʌs/,/s/
102,buzz,/bʌz/,/z/
103,kiss,/kɪs/,/s/
104,kit,/kɪt/,/t/
105,miss,/mɪs/,/s/
106,mix,/mɪks/,/s/
107,class,/klɑːs/,/s/
108,clash,/klæʃ/,/ʃ/
109,dress,/drɛs/,/s/
110,drew,/druː/,/uː/
